edge,node_from,node_to
AT-CH,AT,CH
CH-AT,CH,AT
AT-DE,AT,DE
DE-AT,DE,AT
AT-IT,AT,IT
IT-AT,IT,AT
CH-DE,CH,DE
DE-CH,DE,CH
CH-FR,CH,FR
FR-CH,FR,CH
CH-IT,CH,IT
IT-CH,IT,CH
DE-FR,DE,FR
FR-DE,FR,DE
FR-IT,FR,IT
IT-FR,IT,FR
