node,year,capex_specific_conversion
AT,2025,1100.0
AT,2026,1089.0
AT,2027,1078.11
CH,2025,1100.0
CH,2026,1089.0
CH,2027,1078.11
DE,2025,1100.0
DE,2026,1089.0
DE,2027,1078.11
FR,2025,1100.0
FR,2026,1089.0
FR,2027,1078.11
IT,2025,1100.0
IT,2026,1089.0
IT,2027,1078.11
