time,AT,CH,DE,FR,IT
0,0.0628198905071834,0.0360712395814157,0.3633344144955883,0.1016006034366457,0.2187886191705504
1,0.0639314912781323,0.0322900507091089,0.3974311943883148,0.1007965025197012,0.2260285111020392
2,0.0741185485411345,0.0311796924038692,0.4454163663496847,0.1020723633998606,0.2297041392945296
3,0.0884541008016101,0.0301324662415712,0.487756135858134,0.1050221298487301,0.2352707125729386
4,0.1118052201395011,0.025077932625982,0.5333814850775076,0.1132063001562657,0.2336733885942686
5,0.1390626213355168,0.0209737445641252,0.568847452841856,0.1162277979402653,0.2224939380114758
6,0.1655410945170011,0.0194225504289543,0.6054416437329826,0.1152984381853188,0.2117228639198492
7,0.1869504215690979,0.0203149434383717,0.6269455306236393,0.1151213152849957,0.2021753382292904
8,0.2102890026378101,0.0228540777640259,0.6343486470922993,0.1122086293007185,0.1916956725334769
9,0.2299103952239383,0.025539658826812,0.6301137128711788,0.1048220452563387,0.1900223430042856
10,0.2134330582670387,0.0268566210881597,0.5694401056186338,0.1002581651400616,0.212903702520966
11,0.2509033194291274,0.0282702252153446,0.595162082964087,0.1142938024019318,0.211839710202551
12,0.3076240742901053,0.0305487097247789,0.6527050063851264,0.1333530356465136,0.183832224014596
13,0.3190239159597513,0.0348699408222345,0.695575159548648,0.138468795364472,0.1689659966194359
14,0.4126945067060949,0.0415538513153709,0.7475370564487519,0.1392460046101925,0.1436178694449756
15,0.4404366781325669,0.0478194756511328,0.7936393298296295,0.1397551739372441,0.1188650183468618
16,0.4636760510801744,0.0608055735914374,0.7855969552097616,0.1452724073065519,0.1143685072571165
17,0.499208551650424,0.0699674221113999,0.7851030870885789,0.1553795002607211,0.1103952965431539
18,0.5245618552587784,0.0733727657413827,0.8086680130178866,0.1657174371483648,0.1030658275135665
19,0.5310844346348177,0.0810459875147718,0.8243796840632545,0.1724594310612259,0.097879880739696
20,0.5467475842584062,0.0873521592811603,0.8261678543924437,0.1815514551588501,0.0938564130430607
21,0.5602387303779348,0.0908023207707725,0.8026685297316246,0.1896592197621339,0.095231463407351
22,0.570891377423636,0.1093970456030859,0.6982726265864572,0.202089035656542,0.097730340574841
23,0.5066942255890975,0.1119685303081605,0.7109937923882533,0.2012489239694366,0.1013127416293749
24,0.4734477932515425,0.1031218395446324,0.7081747595168358,0.2034953270226076,0.1054403707910089
25,0.4482148419477684,0.0967651087952664,0.6804211772232215,0.2146041603196436,0.1133616519012731
26,0.4702037208437609,0.0961086731592517,0.6608265025459503,0.2288025130756257,0.1249668118682534
27,0.5450328240969586,0.0962223650829656,0.6568335339602577,0.2378105875938293,0.1320571563899066
28,0.5833491930916207,0.1007572001454948,0.6629279601853545,0.2477604848158102,0.1361582315018793
29,0.5906864745399313,0.107342778284012,0.6282334587071909,0.2472844448785501,0.136032573463998
30,0.5691021643307601,0.1088717008401209,0.5954488815107839,0.2468012678675422,0.1281787237991692
31,0.5427093223662232,0.1101898878010115,0.5735681398267519,0.2425740086634735,0.1230895976057744
32,0.5134169233426168,0.1061223218727879,0.5461660858675774,0.2389284163356635,0.1191551333265671
33,0.4558699778391308,0.1040977232879859,0.5241049760044147,0.2224344904154787,0.1225245105063927
34,0.3434963645916471,0.1118922178220745,0.3579845008945591,0.1881814811803095,0.1326626288785962
35,0.4687357690408563,0.1062155047155355,0.3929095687479212,0.1900162037756832,0.1392660342384294
36,0.5321455087175719,0.130099466320311,0.448996868292957,0.2056670462423606,0.1692351219212338
37,0.5192505439729571,0.1457339575637194,0.451818721264647,0.2237472098067351,0.2011576338173817
38,0.4849510406964665,0.1486036996307301,0.4284139597258174,0.2249493681106328,0.2124390057417254
39,0.5019426461106881,0.1356498885600185,0.3981281026312638,0.2072885488193084,0.2397863122141965
40,0.4468866475257931,0.126007965302321,0.3737369493893276,0.2035656358168137,0.2499181930672796
41,0.3966832826466973,0.1158219144541161,0.3468436252696751,0.2136468747755418,0.2651112830735372
42,0.4115391139356844,0.1012738327407002,0.3180391030998831,0.2231469218612873,0.2703384420704943
43,0.4218251661104841,0.0837527965053763,0.2792489314946092,0.226190982599752,0.2761093825700448
44,0.4045916294298218,0.0725437528789749,0.2474373716471464,0.2222773902269964,0.2804290472173919
45,0.3986677196648844,0.0651045011133176,0.2213440039763685,0.212780869557767,0.2991774790561037
46,0.2595122383217382,0.0861318964669661,0.2043923398063121,0.1982880992080861,0.3299838953847522
47,0.2983031881578062,0.0911103462102206,0.1998854193198491,0.1925169925553362,0.3235708144096523
48,0.3406158482262292,0.096041056758421,0.1958362818964958,0.1850989270319792,0.3244275104646533
49,0.368386675254054,0.0847300719771354,0.1875936440900775,0.1840176183637572,0.3409542092150487
50,0.4012029276146079,0.0765341277326796,0.1814214351434966,0.1770635067017796,0.331023220008833
51,0.4412564245899991,0.0709213711455961,0.1955074838570684,0.177363033549405,0.3295962331726124
52,0.45047630597633,0.0718487201111304,0.2083520063173716,0.1733189725041617,0.3338461594250296
53,0.4641068674339454,0.0733139498723809,0.2146070927094342,0.1714871064152916,0.3258012725379686
54,0.4432886935087313,0.0681461461074957,0.2165616178923523,0.1626577873983284,0.3099492105950389
55,0.4472396741757217,0.0769678223584618,0.2154767447560452,0.1580510769376648,0.2930570167099646
56,0.4367836370287269,0.0736533851987633,0.2091073116801313,0.1532114728619867,0.2781648377962903
57,0.5102912501287902,0.0754824710817943,0.1919258515544095,0.1413191792903904,0.2851136909865516
58,0.5337116004105552,0.0671882657954641,0.1543129235541208,0.0965971546928839,0.2659903209748043
59,0.5360747951925235,0.0681993925876012,0.148224910705713,0.0895831748710831,0.3274460760971468
60,0.4954445705788253,0.0884533171655293,0.1507325313402673,0.1026994946720879,0.3502084653216047
61,0.456387705831051,0.0920997573873066,0.1476348236847048,0.1207472641697822,0.3527729682957133
62,0.4266098489488527,0.0844691916189063,0.1447776914649715,0.1476673901295353,0.3378503804820387
63,0.4254118732199376,0.0851317517322236,0.1486752438327342,0.1608989911290391,0.299995627113385
64,0.4208082425745343,0.0810393803547081,0.1607926496196383,0.1789967312677497,0.2851661159547269
65,0.3837664590164386,0.0752899508283928,0.1566052342403314,0.2062848162516933,0.2636426171596586
66,0.3486891725216881,0.0685390242026118,0.1535016355929876,0.2185383553405013,0.240820352245694
67,0.3229523263999909,0.0668031942347418,0.1450170760741367,0.2214533726246736,0.2249774853061451
68,0.2773510107784608,0.0682366790430243,0.1364044598388351,0.2148184225057332,0.2180178186436111
69,0.2603614746017833,0.0687132526467274,0.1269804095548753,0.2083532959066572,0.2097077356037065
70,0.2192730202270786,0.0700379661890088,0.1220325856289977,0.1955755721836338,0.2026506722761376
71,0.2126580392613955,0.0807048903916684,0.1197706842517473,0.1864899159496643,0.223343755660654
72,0.2069042648687712,0.0843411772132439,0.122534928469826,0.1826301627511755,0.2277687818439148
73,0.2065356874780522,0.0766153826654981,0.1360995921077717,0.1843725799121822,0.2206198075471004
74,0.214714186982767,0.0809256766001338,0.1505300797069835,0.1891778411448012,0.2078484933603741
75,0.2251358897276239,0.0738061218334779,0.1666499727848811,0.1896312085659855,0.2015925855471031
76,0.223528138907954,0.0674415228690616,0.1949575418599003,0.187039211925315,0.2032394154721531
77,0.2203339055417587,0.0692949629612479,0.2199516227221492,0.1888455820943456,0.1969432256691866
78,0.2073592023301122,0.0750552035966257,0.2458510231508736,0.1825605570569188,0.1864410488693773
79,0.2094412038580076,0.084351380248969,0.2653970057431147,0.1717752616988768,0.1796818096866613
80,0.1978165861821813,0.0769279205350266,0.2883408139194238,0.1715344638784066,0.1684485123494256
81,0.1957415108168172,0.0712960985536299,0.3105133285028554,0.1552853948899536,0.1656167235557025
82,0.1843019591369628,0.054569676238598,0.3041870125913981,0.1043781036054134,0.1773619438098943
