node,year_construction,capacity_existing_energy
DE,1960.0,891.8957400368596
DE,1969.0,3019.534031348838
DE,1970.0,304.1452033709019
DE,1971.0,276.25089293177064
DE,1973.0,6058.083420960539
DE,1974.0,9823.961469827578
DE,1975.0,10208.3165558487
DE,1976.0,20630.02204001187
DE,1977.0,2472.445491739347
DE,1979.0,6088.372358149841
DE,1980.0,9343.199843085244
DE,1982.0,7744.891105408569
DE,1983.0,1646.652643939733
DE,1985.0,1980.6202412876055
DE,1986.0,3404.792255384069
DE,1991.0,340.38056450521736
DE,1992.0,2888.7950518008015
DE,1993.0,59362.37044970991
DE,1996.0,17729.48632526147
DE,1997.0,9495.828461430046
DE,2000.0,4492.03684113697
DE,2001.0,3250.9632301230076
DE,2002.0,4335.165798365001
DE,2007.0,4585.567500601013
DE,2008.0,2259.8309652150742
DE,2012.0,29483.66583640874
DE,2013.0,7108.034136167648
DE,2020.0,6285.694424529677
