set_technologies,set_capacity_types,set_location,set_time_steps_yearly,scaling,constraint_type,component_year,raw_dual,coefficient,discount_factor,contribution_to_rc
oil_to_kerosene_conversion,power,NL,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_kerosene_conversion,power,NO,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_kerosene_conversion,power,PL,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_kerosene_conversion,power,PT,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_kerosene_conversion,power,RO,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_kerosene_conversion,power,SE,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_kerosene_conversion,power,SI,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_kerosene_conversion,power,SK,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_kerosene_conversion,power,UK,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,AT,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,BE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,BG,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,CH,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,CZ,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,DE,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,DK,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,EE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,EL,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,ES,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,FI,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,FR,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,HR,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,HU,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,IE,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,IT,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,LT,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,LU,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,LV,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,NL,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,NO,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,PL,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,PT,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,RO,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,SE,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
oil_to_naphtha_conversion,power,SI,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,SK,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
oil_to_naphtha_conversion,power,UK,0,0.08024258719069129,lifetime,0,-0.0001,1.0,1.0,-0.0012462210342539992
olefin_from_methanol,power,AT,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,BE,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,BG,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,CH,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,CZ,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,DE,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,DK,0,0.0709524572992296,lifetime,0,-0.0,1.0,1.0,-0.0
olefin_from_methanol,power,EE,0,0.0709524572992296,lifetime,0,-0.0,1.0,1.0,-0.0
olefin_from_methanol,power,EL,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,ES,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,FI,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,FR,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,HR,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,HU,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,IE,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,IT,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,LT,0,0.0709524572992296,lifetime,0,-0.0,1.0,1.0,-0.0
olefin_from_methanol,power,LU,0,0.0709524572992296,lifetime,0,-0.0,1.0,1.0,-0.0
olefin_from_methanol,power,LV,0,0.0709524572992296,lifetime,0,-0.0,1.0,1.0,-0.0
olefin_from_methanol,power,NL,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,NO,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,PL,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,PT,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,RO,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,SE,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
olefin_from_methanol,power,SI,0,0.0709524572992296,lifetime,0,-0.0,1.0,1.0,-0.0
olefin_from_methanol,power,SK,0,0.0709524572992296,lifetime,0,-397.9750862717322,1.0,1.0,-5609.038804580676
