set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units
BEV,power,AT,0,megapkm / hour,13.905082031086506,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,BE,0,megapkm / hour,18.776961214107157,0.0,-0.0012462210333978874,-0.0012462210333978874
BEV,power,BG,0,megapkm / hour,9.802129089110737,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,CH,0,megapkm / hour,16.865081978850327,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,CZ,0,megapkm / hour,13.913456622809305,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,DE,0,megapkm / hour,157.0557361804559,0.0,-0.0012462210333978874,-0.0012462210333978874
BEV,power,DK,0,megapkm / hour,10.756321601397303,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,EE,0,megapkm / hour,2.555254473438283,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,EL,0,megapkm / hour,18.653194195882875,0.0,-0.0012462210333978874,-0.0012462210333978874
BEV,power,ES,0,megapkm / hour,60.24451267143551,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,FI,0,megapkm / hour,11.714497784197201,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,FR,0,megapkm / hour,136.03251337010212,0.0,-0.0012462210333978874,-0.0012462210333978874
BEV,power,HR,0,megapkm / hour,4.416473965619442,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,HU,0,megapkm / hour,11.349913781394587,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,IE,0,megapkm / hour,10.426036136284784,0.0,-0.0012462210333978874,-0.0012462210333978874
BEV,power,IT,0,megapkm / hour,127.4331186150506,0.0,-0.0012462210333978874,-0.0012462210333978874
BEV,power,LT,0,megapkm / hour,5.329523026109196,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,LU,0,megapkm / hour,1.421249996318972,0.0,-0.001246221034307382,-0.001246221034307382
BEV,power,LV,0,megapkm / hour,2.677997097527445,0.0,-0.001246221034307382,-0.001246221034307382
