time,AT,CH,DE,FR,IT
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0035513036132969,0.0,0.0,0.0,0.1179470582398026
8,0.0235344025838588,0.0485994828516092,0.0013283249035616,0.0859177004325022,0.2406351581328777
9,0.0822922196653696,0.1739173856806523,0.0168933487817832,0.1724139357011207,0.3825480638192032
10,0.1520074941617849,0.2937959345673573,0.038193425809911,0.2755290032184813,0.4647458208709296
11,0.2047467743911432,0.3795168245327645,0.0590922706767024,0.3359927642796877,0.4969214729328576
12,0.2086078968601656,0.4066966437358265,0.066124677146674,0.3495998510475291,0.4803458097430982
13,0.1785347362316353,0.3555618846497991,0.0466514820463091,0.3211070330440204,0.4074902356458093
14,0.11153773708549,0.2569193050495107,0.0203464199054222,0.2462876798684126,0.2862156249871409
15,0.0562896298621224,0.1284609722609878,0.0049588729031757,0.144333090855407,0.1398636975746238
16,0.0,0.0,0.0,0.068516924662399,0.0070587827487484
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0474333384760288,0.0,0.0,0.0,0.0842812530197797
32,0.0887822725445832,0.02766530429302,0.040525075258954,0.0822246424706689,0.1929521084882049
33,0.194099292990544,0.120920604215471,0.1419785363257415,0.1842765889311222,0.3028647680676437
34,0.3078911325590514,0.2123307082538047,0.2404388718008757,0.3032987388114268,0.3854864057662858
35,0.3435725180776008,0.2890171383230916,0.2956152645244221,0.3828357557823133,0.4196871005425762
36,0.2874659635120323,0.3003117075577265,0.2859580216947769,0.4092203726886538,0.3799588155400125
