set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,reduced_cost,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units,rc_capex_equivalent_per_kw_eff
BF_BOF,power,SI,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,SK,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
BF_BOF,power,UK,0,kilotonproduct / hour,0.0,0.0,0.0,1706.6194806767687,1706.6194806767687,1706.6194806767687
DAC,power,AT,0,kilotCO2eq / hour,0.0,0.0,0.0,9069.108899360603,9069.108899360603,9069.108899360603
DAC,power,BE,0,kilotCO2eq / hour,0.0,0.0,0.0,8059.596712624901,8059.596712624901,8059.596712624901
DAC,power,BG,0,kilotCO2eq / hour,0.0,0.0,0.0,8578.969848597517,8578.969848597517,8578.969848597517
DAC,power,CH,0,kilotCO2eq / hour,0.0,0.0,0.0,9053.962581628972,9053.962581628972,9053.962581628972
DAC,power,CZ,0,kilotCO2eq / hour,0.0,0.0,0.0,7878.493960787746,7878.493960787746,7878.493960787746
DAC,power,DE,0,kilotCO2eq / hour,0.0,0.0,0.0,8549.837353247538,8549.837353247538,8549.837353247538
DAC,power,DK,0,kilotCO2eq / hour,0.0,0.0,0.0,3629.1396001555822,3629.1396001555822,3629.1396001555822
DAC,power,EE,0,kilotCO2eq / hour,0.0,0.0,0.0,5350.391177410115,5350.391177410115,5350.391177410115
DAC,power,EL,0,kilotCO2eq / hour,0.0,0.0,0.0,10130.367298532472,10130.367298532472,10130.367298532472
DAC,power,ES,0,kilotCO2eq / hour,0.0,0.0,0.0,8392.156824750447,8392.156824750447,8392.156824750447
DAC,power,FI,0,kilotCO2eq / hour,0.0,0.0,0.0,5394.128657020009,5394.128657020009,5394.128657020009
DAC,power,FR,0,kilotCO2eq / hour,0.0,0.0,0.0,5142.455270600829,5142.455270600829,5142.455270600829
