set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,reduced_cost,rc_capex_equivalent,rc_capex_equivalent_input_units,rc_capex_equivalent_per_kw_eff,rc_reliability
natural_gas_boiler,power,CH,0,gigawatt,30.9854076742066,0.0,1.7763568394002505e-15,1.6209256159527285e-13,1.6209256159527285e-13,unknown
natural_gas_boiler,power,CH,1,gigawatt,0.0,0.0,1.7763568394002505e-15,1.6209256159527285e-13,1.6209256159527285e-13,unknown
natural_gas_boiler,power,CH,2,gigawatt,0.0,0.0,1.7763568394002505e-15,1.6209256159527285e-13,1.6209256159527285e-13,unknown
natural_gas_boiler,power,CH,3,gigawatt,0.0,0.0,0.0,0.0,0.0,unknown
natural_gas_boiler,power,CH,4,gigawatt,0.0,0.0,11.139438747695714,1016.4737857272338,1016.4737857272338,unknown
natural_gas_boiler,power,CH,5,gigawatt,0.0,0.0,0.0,0.0,0.0,unknown
natural_gas_boiler,power,DE,0,gigawatt,187.4123650755256,0.0,3.552713678800501e-15,3.241851231905457e-13,3.241851231905457e-13,unknown
natural_gas_boiler,power,DE,1,gigawatt,0.0,0.0,21.648343226653935,1975.4113194321715,1975.4113194321715,unknown
natural_gas_boiler,power,DE,2,gigawatt,0.0,0.0,21.648343226653935,1975.4113194321715,1975.4113194321715,unknown
natural_gas_boiler,power,DE,3,gigawatt,0.0,0.0,21.648343226653935,1975.4113194321715,1975.4113194321715,unknown
natural_gas_boiler,power,DE,4,gigawatt,0.0,0.0,21.648343226653935,1975.4113194321715,1975.4113194321715,unknown
natural_gas_boiler,power,DE,5,gigawatt,0.0,0.0,21.648343226653935,1975.4113194321715,1975.4113194321715,unknown
photovoltaics,power,CH,0,gigawatt,0.0,0.0,0.0019374574408264067,0.1767929914754096,0.1767929914754096,unknown
photovoltaics,power,CH,1,gigawatt,0.0,0.0,0.0019374574408264067,0.1767929914754096,0.1767929914754096,unknown
photovoltaics,power,CH,2,gigawatt,0.0,0.0,0.0019374574408246303,0.17679299147524752,0.17679299147524752,unknown
photovoltaics,power,CH,3,gigawatt,0.0,0.0,0.0019374574408246303,0.17679299147524752,0.17679299147524752,unknown
photovoltaics,power,CH,4,gigawatt,0.0,0.0,0.0019374574408264067,0.1767929914754096,0.1767929914754096,unknown
photovoltaics,power,CH,5,gigawatt,0.0,0.0,0.0019374574408264067,0.1767929914754096,0.1767929914754096,unknown
