node,year_construction,capacity_existing
CH,2005,0.47264549056295485
CH,2006,0.1897351711981685
CH,2007,0.47733204613828506
CH,2008,0.1421536072896873
CH,2009,0.18282292643611844
CH,2011,0.37320414029381566
CH,2012,0.11588148829565365
CH,2013,0.20832781526959135
CH,2014,0.3767050035116882
CH,2016,0.3219735657092468
CH,2017,0.05551480366178281
CH,2018,0.4146032452539668
CH,2019,0.1540788729939025
CH,2020,0.04082151182282062
CH,2021,0.18038979126868956
DE,2005,0.29005532009459517
DE,2006,0.1601863944685679
DE,2007,1.9676438933032772
DE,2008,0.1601863944685679
DE,2009,0.9496420642191161
DE,2011,1.059007128003353
DE,2013,0.23833833705413265
DE,2014,0.5429034431713644
DE,2015,0.002039842605986587
DE,2016,0.276527463052512
DE,2017,0.40084351984272115
DE,2018,0.6603986349444182
DE,2019,0.5898693326037999
DE,2020,0.13866331463693923
DE,2021,0.782291473923586
