time,CH,DE
0,0.3898321755949659,0.3388459500316303
1,0.3973049894810245,0.3397717576907115
2,0.4011499033798762,0.3397717576907115
3,0.40244812199964847,0.34070263835660947
4,0.4050699314358504,0.3397717576907115
5,0.4063936880826195,0.34070263835660947
6,0.4090673282608335,0.34070263835660947
7,0.4077261252259769,0.3416386336528348
8,0.4050699314358504,0.3425797860369917
9,0.3973049894810245,0.3425797860369917
10,0.38500453716820093,0.3416386336528348
11,0.3734428500750847,0.34070263835660947
12,0.3668332223748929,0.3397717576907115
13,0.3657543022416813,0.3397717576907115
14,0.3657543022416813,0.34070263835660947
15,0.3701085420326703,0.34352616064374525
16,0.37456767694711135,0.3463968501834275
17,0.3791355711473497,0.3493159219885907
18,0.3826352807287308,0.3522846097973453
19,0.3862002022262638,0.35429192761005546
20,0.3898321755949659,0.35734616539620634
21,0.3910580616878885,0.3594117481822916
22,0.39353311029257204,0.3625552880691461
23,0.3947824205917604,0.3646817099723602
24,0.3922916821937563,0.36791852675315484
25,0.39353311029257204,0.36901029805209173
26,0.3947824205917604,0.37121334257720684
27,0.39603968814783697,0.3723247587988936
28,0.3973049894810245,0.3734428500750847
29,0.4011499033798762,0.37456767694711135
30,0.4037547704719929,0.37456767694711135
31,0.4077261252259769,0.3768377819565421
32,0.4104173842476829,0.3768377819565421
33,0.4077261252259769,0.375699300236627
34,0.4037547704719929,0.3734428500750847
35,0.40244812199964847,0.3701085420326703
36,0.3998600335542376,0.36901029805209173
37,0.4011499033798762,0.36791852675315484
38,0.40244812199964847,0.3701085420326703
39,0.4050699314358504,0.375699300236627
40,0.4104173842476829,0.3814615540438622
41,0.4159079124445806,0.3874033170240029
42,0.4173035753153045,0.39353311029257204
43,0.4201231913525994,0.3973049894810245
44,0.42442478973785475,0.4011499033798762
45,0.4302991754972187,0.4037547704719929
46,0.43633849256860785,0.4090673282608335
47,0.4409803872035678,0.41177638085832
48,0.4441302441737954,0.41452155412279174
49,0.4473254227844649,0.4159079124445806
50,0.4538557145364299,0.4173035753153045
51,0.4588799427789437,0.41870863643967166
52,0.4640166534624103,0.4201231913525994
53,0.46750549705372274,0.4201231913525994
54,0.4764615756309734,0.42154733631664515
55,0.4801408122241256,0.4201231913525994
56,0.47829411838704483,0.41870863643967166
57,0.4605794963927998,0.4104173842476829
58,0.44572210727807005,0.3998600335542376
59,0.43179326845275784,0.39353311029257204
60,0.42442478973785475,0.388613951160908
61,0.4201231913525994,0.38500453716820093
62,0.4201231913525994,0.38500453716820093
63,0.4229811694756628,0.388613951160908
64,0.43179326845275784,0.3922916821937563
65,0.437874894375217,0.3947824205917604
66,0.44254971088744094,0.3973049894810245
67,0.44572210727807005,0.3998600335542376
68,0.44894031440369725,0.40244812199964847
69,0.4538557145364299,0.4037547704719929
70,0.4522053317703183,0.4063936880826195
71,0.45719288570212563,0.4077261252259769
72,0.4605794963927998,0.4077261252259769
73,0.46229168625195133,0.4090673282608335
74,0.46575454193671545,0.4077261252259769
75,0.4710472018592497,0.4077261252259769
76,0.4764615756309734,0.4063936880826195
77,0.4764615756309734,0.4037547704719929
78,0.4801408122241256,0.40244812199964847
79,0.4857674570535627,0.40244812199964847
80,0.4801408122241256,0.3998600335542376
81,0.4605794963927998,0.3947824205917604
82,0.4409803872035678,0.388613951160908
83,0.42442478973785475,0.38500453716820093
84,0.4104173842476829,0.3814615540438622
85,0.4063936880826195,0.3791355711473497
86,0.4050699314358504,0.3779831844169411
87,0.4104173842476829,0.3779831844169411
88,0.41870863643967166,0.3779831844169411
89,0.4258782979457619,0.3779831844169411
90,0.43179326845275784,0.3768377819565421
91,0.43481283497332973,0.375699300236627
92,0.43633849256860785,0.37456767694711135
93,0.44254971088744094,0.3734428500750847
94,0.4441302441737954,0.3723247587988936
95,0.44572210727807005,0.37121334257720684
