set_technologies,set_capacity_types,set_location,set_time_steps_yearly,scaling,constraint_type,component_year,raw_dual,coefficient,discount_factor,contribution_to_rc
EAF,power,EL,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,ES,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,FI,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,FR,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,HR,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,HU,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,IE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,IT,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,LT,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,LU,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,LV,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
EAF,power,NL,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,NO,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,PL,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,PT,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,RO,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,SE,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,SI,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,SK,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
EAF,power,UK,0,0.08024258719069129,lifetime,0,-148.2212676249116,1.0,1.0,-1847.1646143795615
H2_DRI,power,AT,0,0.08024258719069129,lifetime,0,-275.64166701107297,1.0,1.0,-3435.104433460358
H2_DRI,power,BE,0,0.08024258719069129,lifetime,0,-208.11685010971965,1.0,1.0,-2593.5959618941934
H2_DRI,power,BG,0,0.08024258719069129,lifetime,0,-234.672315559372,1.0,1.0,-2924.5357580718146
H2_DRI,power,CH,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,CZ,0,0.08024258719069129,lifetime,0,-294.6848009904034,1.0,1.0,-3672.4239746919443
H2_DRI,power,DE,0,0.08024258719069129,lifetime,0,-258.46028332018113,1.0,1.0,-3220.986415928578
H2_DRI,power,DK,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,EE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,EL,0,0.08024258719069129,lifetime,0,-230.11851860614172,1.0,1.0,-2867.785382583441
H2_DRI,power,ES,0,0.08024258719069129,lifetime,0,-311.04846467282897,1.0,1.0,-3876.3513934769144
H2_DRI,power,FI,0,0.08024258719069129,lifetime,0,-190.70260029095542,1.0,1.0,-2376.5759176952147
H2_DRI,power,FR,0,0.08024258719069129,lifetime,0,-293.461676135366,1.0,1.0,-3657.18113547328
H2_DRI,power,HR,0,0.08024258719069129,lifetime,0,-252.5373463299724,1.0,1.0,-3147.173529310986
H2_DRI,power,HU,0,0.08024258719069129,lifetime,0,-251.63357683432037,1.0,1.0,-3135.9105637549987
H2_DRI,power,IE,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,IT,0,0.08024258719069129,lifetime,0,-292.80583779321137,1.0,1.0,-3649.007940102646
H2_DRI,power,LT,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,LU,0,0.08024258719069129,lifetime,0,-232.39365309601783,1.0,1.0,-2896.138587153844
H2_DRI,power,LV,0,0.08024258719069129,lifetime,0,-0.0,1.0,1.0,-0.0
H2_DRI,power,NL,0,0.08024258719069129,lifetime,0,-217.7880639040236,1.0,1.0,-2714.1206624664837
H2_DRI,power,NO,0,0.08024258719069129,lifetime,0,-163.72627917148736,1.0,1.0,-2040.3913296365
H2_DRI,power,PL,0,0.08024258719069129,lifetime,0,-221.20685913741102,1.0,1.0,-2756.7264077830305
H2_DRI,power,PT,0,0.08024258719069129,lifetime,0,-333.49785215605107,1.0,1.0,-4156.120382354013
H2_DRI,power,RO,0,0.08024258719069129,lifetime,0,-176.5104710344057,1.0,1.0,-2199.7106176915763
H2_DRI,power,SE,0,0.08024258719069129,lifetime,0,-215.2308428279497,1.0,1.0,-2682.252035524074
H2_DRI,power,SI,0,0.08024258719069129,lifetime,0,-280.4339673391145,1.0,1.0,-3494.8270881730346
H2_DRI,power,SK,0,0.08024258719069129,lifetime,0,-254.56565342170236,1.0,1.0,-3172.4507189273904
H2_DRI,power,UK,0,0.08024258719069129,lifetime,0,-179.19570229199957,1.0,1.0,-2233.174534442074
HDT_BET,power,AT,0,0.08024258719069129,lifetime,0,-13.307629447090957,1.0,1.0,-165.84247733022667
HDT_BET,power,BE,0,0.08024258719069129,lifetime,0,-15.7942595800546,1.0,1.0,-196.83138509131777
HDT_BET,power,BG,0,0.08024258719069129,lifetime,0,-19.63688910945515,1.0,1.0,-244.7190425551629
