set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,capacity,capacity_ceiling,vbasis,rc_capex_equivalent,rc_capex_equivalent_input_units
BF_BOF,power,UK,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1706.6194806767687,1706.6194806767687
DAC,power,AT,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8957.038520435824,8957.038520435824
DAC,power,BE,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8000.579681926311,8000.579681926311
DAC,power,BG,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8151.644103171993,8151.644103171993
DAC,power,CH,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,9100.638512990849,9100.638512990849
DAC,power,CZ,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8004.053818600616,8004.053818600616
DAC,power,DE,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8454.668872711161,8454.668872711161
DAC,power,DK,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,4331.6980602655285,4331.6980602655285
DAC,power,EE,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,5895.452774124845,5895.452774124845
DAC,power,EL,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,9697.097689704124,9697.097689704124
DAC,power,ES,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8396.920855726254,8396.920855726254
DAC,power,FI,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,6120.001716996864,6120.001716996864
DAC,power,FR,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,5147.59880044507,5147.59880044507
DAC,power,HR,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8504.746316033787,8504.746316033787
DAC,power,HU,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,11266.189719956903,11266.189719956903
DAC,power,IE,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,4304.622809444395,4304.622809444395
DAC,power,IT,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8595.385453983428,8595.385453983428
DAC,power,LT,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,5893.454807296191,5893.454807296191
DAC,power,LU,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,7557.0660513439125,7557.0660513439125
DAC,power,LV,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,5843.203244635841,5843.203244635841
DAC,power,NL,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,10445.59024113469,10445.59024113469
DAC,power,NO,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,4083.8649006018823,4083.8649006018823
DAC,power,PL,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8073.581925294705,8073.581925294705
DAC,power,PT,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,9249.131133365587,9249.131133365587
DAC,power,RO,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8049.578254326006,8049.578254326006
DAC,power,SE,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,1650.3167152590304,1650.3167152590304
DAC,power,SI,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,8505.95729712557,8505.95729712557
DAC,power,SK,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,7666.76930705482,7666.76930705482
DAC,power,UK,0,kilotCO2eq / hour,0.0,0.001,inf,0.0,4734.470528190085,4734.470528190085
EAF,power,AT,0,kilotonproduct / hour,0.47057534245890414,0.47157534245890415,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,BE,0,kilotonproduct / hour,0.5462602739520548,0.5472602739520548,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,BG,0,kilotonproduct / hour,0.044616438356164384,0.045616438356164385,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,CH,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1847.1646143795613,1847.1646143795613
EAF,power,CZ,0,kilotonproduct / hour,0.3372876712328767,0.3382876712328767,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,DE,0,kilotonproduct / hour,2.912413824092466,2.913413824092466,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,DK,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1847.1646143795613,1847.1646143795613
EAF,power,EE,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1847.1646143795613,1847.1646143795613
EAF,power,EL,0,kilotonproduct / hour,0.09947945205479454,0.10047945205479454,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,ES,0,kilotonproduct / hour,0.9798904109794521,0.9808904109794521,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,FI,0,kilotonproduct / hour,0.26954794522602743,0.27054794522602743,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,FR,0,kilotonproduct / hour,1.052972602771233,1.0539726027712328,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,HR,0,kilotonproduct / hour,0.005093970042465755,0.006093970042465755,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,HU,0,kilotonproduct / hour,0.13454794520547947,0.13554794520547947,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,IE,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1847.1646143795613,1847.1646143795613
EAF,power,IT,0,kilotonproduct / hour,1.642754835924658,1.6437548359246579,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,LT,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1847.1646143795613,1847.1646143795613
EAF,power,LU,0,kilotonproduct / hour,0.15838508369863016,0.15938508369863016,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,LV,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1847.1646143795613,1847.1646143795613
EAF,power,NL,0,kilotonproduct / hour,0.4656438356164384,0.4666438356164384,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,NO,0,kilotonproduct / hour,0.04356863013698631,0.04456863013698631,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,PL,0,kilotonproduct / hour,0.6713972602739726,0.6723972602739726,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,PT,0,kilotonproduct / hour,0.11543835616438354,0.11643835616438354,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,RO,0,kilotonproduct / hour,0.24215068493150688,0.24315068493150688,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,SE,0,kilotonproduct / hour,0.31769863014383565,0.31869863014383565,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,SI,0,kilotonproduct / hour,0.04379452054794519,0.044794520547945194,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,SK,0,kilotonproduct / hour,0.35036986301369866,0.35136986301369866,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
EAF,power,UK,0,kilotonproduct / hour,0.49215068493150693,0.49315068493150693,inf,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13
H2_DRI,power,AT,0,kilotonproduct / hour,0.0,0.001,inf,0.0,715.5243764077168,715.5243764077168
H2_DRI,power,BE,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1558.3407433019033,1558.3407433019033
H2_DRI,power,BG,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1233.2989571988542,1233.2989571988542
H2_DRI,power,CH,0,kilotonproduct / hour,0.0,0.001,inf,0.0,4156.120382354013,4156.120382354013
H2_DRI,power,CZ,0,kilotonproduct / hour,0.0,0.001,inf,0.0,477.8973031661485,477.8973031661485
H2_DRI,power,DE,0,kilotonproduct / hour,0.0,0.001,inf,0.0,929.502951527124,929.502951527124
H2_DRI,power,DK,0,kilotonproduct / hour,0.0,0.001,inf,0.0,4156.120382354013,4156.120382354013
H2_DRI,power,EE,0,kilotonproduct / hour,0.0,0.001,inf,0.0,4156.120382354013,4156.120382354013
H2_DRI,power,EL,0,kilotonproduct / hour,0.0,0.001,inf,0.0,1287.6517743980485,1287.6517743980485
H2_DRI,power,ES,0,kilotonproduct / hour,0.0,0.001,inf,0.0,279.3021995893441,279.3021995893441
