constraint,cluster,description,shadow_price_unit,shadow_price,shadow_price_input_units,index_0,index_1,index_2,index_3
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-40.13628510079706,-40.13628510079706,run-of-river_hydro,power,ES,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-98.37550680006659,-98.37550680006659,run-of-river_hydro,power,FI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-127.71038544917758,-127.71038544917758,run-of-river_hydro,power,HR,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-115.73601504978882,-115.73601504978882,run-of-river_hydro,power,HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-47.06500371031393,-47.06500371031393,run-of-river_hydro,power,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-72.3810711658812,-72.3810711658812,run-of-river_hydro,power,PT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-104.69973852729115,-104.69973852729115,run-of-river_hydro,power,SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-63.05350112757157,-63.05350112757157,wind_offshore,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-92.16204981066936,-92.16204981066936,wind_offshore,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-16.32089308110941,-16.32089308110941,wind_onshore,power,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-107.50760584086015,-107.50760584086015,wind_onshore,power,BE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-22.99215653837482,-22.99215653837482,wind_onshore,power,CZ,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-82.76415925928801,-82.76415925928801,wind_onshore,power,DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-13.364678590036952,-13.364678590036952,wind_onshore,power,FI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-16.75207293508723,-16.75207293508723,wind_onshore,power,HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-8.49685165898958,-8.49685165898958,wind_onshore,power,IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-65.3107775140727,-65.3107775140727,wind_onshore,power,LU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-74.65037673320734,-74.65037673320734,wind_onshore,power,NL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-92.15260185558706,-92.15260185558706,wind_onshore,power,PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-5.328659079191139,-5.328659079191139,wind_onshore,power,UK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-5.656662168908755,-5.656662168908755,power_line,power,AT-CZ,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-20.492943760519612,-20.492943760519612,power_line,power,AT-IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-6.346515378524668,-6.346515378524668,power_line,power,BE-DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-32.34110777476783,-32.34110777476783,power_line,power,BG-EL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-34.88794535265407,-34.88794535265407,power_line,power,BG-RO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-14.512775635599134,-14.512775635599134,power_line,power,CH-DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-151.17076419063778,-151.17076419063778,power_line,power,CZ-DE,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-117.08455782015233,-117.08455782015233,power_line,power,CZ-PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-0.5031566948296643,-0.5031566948296643,power_line,power,DE-DK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-7.597673998129489,-7.597673998129489,power_line,power,DE-PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-204.53725037069813,-204.53725037069813,power_line,power,DK-NL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-3.8415031293619215,-3.8415031293619215,power_line,power,DK-NO,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-142.85120223482537,-142.85120223482537,power_line,power,EE-FI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-23.570200065009974,-23.570200065009974,power_line,power,EE-LV,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-9.669399937361607,-9.669399937361607,power_line,power,EL-IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-30.01390543086391,-30.01390543086391,power_line,power,ES-FR,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-253.8322508490898,-253.8322508490898,power_line,power,FR-IT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-12.942546790285599,-12.942546790285599,power_line,power,FR-UK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-30.899914186772044,-30.899914186772044,power_line,power,HR-HU,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-82.79721272785041,-82.79721272785041,power_line,power,HU-SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-2.8117441870710875,-2.8117441870710875,power_line,power,HU-SK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-57.89038658523049,-57.89038658523049,power_line,power,IE-UK,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-50.55179050016875,-50.55179050016875,power_line,power,IT-SI,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-340.1738351167769,-340.1738351167769,power_line,power,LT-PL,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-1.5920612583644096,-1.5920612583644096,pumped_hydro,energy,AT,0.0
constraint_technology_capacity_limit_not_reached,capacity_limit,Technology/node capacity upper bound (limit not yet reached),Euro/GW,-1.826324638694179,-1.826324638694179,pumped_hydro,energy,BE,0.0
