edge,year_construction,capacity_existing,distance
CH-AT,1999,0.0,450
AT-CH,1999,0.0,450
CH-DE,1999,7.208333333,270
DE-CH,1999,13.29166667,270
DE-AT,1999,14.16666667,650
AT-DE,1999,13.95833333,650
