time,CH,DE
0,0.8452491911904897,0.8311561825669578
1,0.8322044239209966,0.7983417449745975
2,0.8450120136037717,0.7825456577142469
3,0.8449959222624506,0.7738558706193394
4,0.789256214681652,0.768018045052731
5,0.8132674706347993,0.7695837186420318
6,0.8462673378712513,0.7677241844154918
7,0.848909691838835,0.7684504445488918
8,0.8540063746467542,0.7677185233493635
9,0.8598217574499815,0.7650925684727895
10,0.8628520604802846,0.7606258420830868
11,0.862555588496887,0.7554142618202893
12,0.8599466350429884,0.7639841303833427
13,0.8593536910761932,0.7942204298922106
14,0.8594722798695523,0.8202794117612413
15,0.8619033501334122,0.8402619965552006
16,0.8621998221168099,0.8582980009696112
17,0.862674177290246,0.8677545716502859
18,0.8631485324636822,0.8668414163075795
19,0.8628520604802846,0.8599956365141045
20,0.8624962941002075,0.8498102998720709
21,0.8626148828935666,0.8400697694831776
22,0.8627334716869257,0.8382107214278814
23,0.8631485324636822,0.8365376549132268
24,0.862792766083605,0.8299511683980961
25,0.8629706492736435,0.8293099882286462
26,0.8628520604802846,0.8305523244086341
27,0.8628520604802846,0.8320967532336203
28,0.862792766083605,0.8329435281967374
29,0.8358138155944264,0.8398608820042913
30,0.860836050993181,0.8713309792421817
31,0.8627334716869255,0.8893347153788588
32,0.8629706492736435,0.8991000869698113
33,0.8630892380670027,0.904495263061974
34,0.8631485324636822,0.902477074977304
35,0.8613976907128403,0.9024719590679929
36,0.8481558344588288,0.9032861880174003
37,0.8476764083167877,0.9010446656813119
38,0.8498071534596882,0.9015247911690032
39,0.853222430850655,0.9028224449603636
40,0.8567995000903391,0.9044472032586883
41,0.8604358637267027,0.9060320495529
42,0.8628520604802846,0.9015057320258496
43,0.8630892380670027,0.8961174712038764
44,0.8631485324636822,0.898626217910859
45,0.8632671212570411,0.9011029212442878
46,0.8634450044470796,0.9012824768204105
47,0.8639193596205159,0.894889654185717
48,0.8639193596205159,0.8771128365278449
49,0.8639193596205159,0.8390629600388527
50,0.864393714793952,0.8222967546132598
51,0.8637414764304772,0.8120315443306699
52,0.8635635932404387,0.8098050343932848
53,0.8636821820337979,0.8201372184237335
54,0.8631485324636821,0.8458945785691411
55,0.862792766083605,0.8660507710176286
56,0.7302404018443152,0.8668379925807205
57,0.8598873406463088,0.8726535752109316
58,0.8600652238363475,0.8742842559978434
59,0.862436999703528,0.8730925320377212
60,0.8637414764304772,0.8739152677931108
61,0.8638007708271568,0.8745321857357972
62,0.8635042988437593,0.8748864428257376
63,0.8530684850281649,0.8742592919302226
64,0.8634450044470798,0.8712198227531921
65,0.8632078268603616,0.8698908582438631
66,0.8635042988437591,0.862455436939611
67,0.8361102875778238,0.8595890933457838
68,0.8346872220575156,0.8692956085624711
69,0.8371775867180551,0.8682372498693074
70,0.8343314556774384,0.8714680018518017
71,0.8637414764304772,0.8730380698603779
72,0.8635635932404387,0.8574045747264201
73,0.8636821820337979,0.8525124743212429
74,0.864156537207234,0.8540396612095856
75,0.8643344203972724,0.8549317932180207
76,0.864156537207234,0.8623908172304457
77,0.8639786540171954,0.8755905443854022
78,0.8636821820337979,0.8747547494993906
79,0.8633857100504002,0.8687334962569576
80,0.8633264156537207,0.8712613169613338
81,0.8632671212570411,0.8665144953354205
82,0.8629706492736435,0.8606143160934266
83,0.8627334716869255,0.8588184873911621
84,0.8623184109101689,0.8625126668757972
85,0.8624369997035279,0.8640153218022837
86,0.8618440557367328,0.86397089634278
87,0.8612511117699377,0.863502864397103
88,0.8613104061666172,0.8668287763400254
89,0.8610732285798992,0.8691565557534882
90,0.8609546397865401,0.8723089068574158
91,0.8614882893566558,0.872991207542673
92,0.8616661725466944,0.874673375158672
93,0.8614289949599762,0.8781500171038005
94,0.8617847613400533,0.8828168959256057
95,0.8620812333234509,0.8745239451624514
