time,CH,DE
0,5.373773873012118,38.58921063066845
1,5.398625052484524,37.01354007438814
2,5.408853644402665,35.033362072457784
3,5.301728916680052,33.06442958906673
4,4.357600373846035,30.505061233006074
5,4.148079196493184,29.574755231263442
6,4.191177870332567,29.16996883120529
7,4.161144563992428,29.8505416729833
8,4.194989090758314,31.1607441919531
9,4.346259697154286,34.082777369600656
10,4.639910649144671,37.12525669932962
11,4.809005672201973,40.16071357164975
12,4.818215896206066,41.56736585771934
13,5.102332646426008,41.214392820759215
14,5.133510775763519,40.84520613386277
15,4.9113653729169915,40.9216838456088
16,4.75959640758618,42.387495387009814
17,4.774076749304083,45.424861966392946
18,4.507505731628395,46.11480732202156
19,4.678846761610293,45.22508341589108
20,4.547538172772122,43.60168114387174
21,4.875966468696242,43.154332821545836
22,5.2269056834802345,43.6216110094347
23,5.257273957760437,40.722231960328905
24,5.3031217926580325,38.275277735032844
25,4.938351393339521,36.67536063379582
26,5.475058442582903,35.83633831483313
27,5.232131862851342,35.209093557978456
28,4.277517093844366,33.82016788643683
29,4.100070650323297,36.506366716266015
30,4.11573437326706,42.39180328165573
31,3.7542716200963824,47.805759689288436
32,3.585705120006669,51.47301161291466
33,3.9051409109471087,53.758047571146506
34,4.201527434389916,55.2094443397819
35,4.368926868676087,56.729232332370216
36,4.357336916897138,57.00285087946666
37,4.586929497550712,56.269952822696126
38,4.448171635053329,54.93739279821574
39,4.208818717604337,54.426467851992605
40,4.121998553375034,55.40594515216157
41,4.476005826727328,58.54900653446968
42,4.918025732988244,58.29193727976335
43,5.1009883661745,56.82249717630246
44,5.146295670679159,53.854344225191284
45,5.152429636467588,51.90892792136586
46,5.420175398225706,51.65411307925597
47,5.3345307648506335,47.725988340774904
48,5.272783525014803,44.44553962518819
49,5.5186177964113305,43.33378219397355
50,5.372254226626727,42.52754330423144
51,5.0145023267791355,41.20197239720463
52,3.9533597619977936,38.708972348180225
53,3.4978796625338986,40.88200973646914
54,3.8634562084429507,45.808992172927994
55,3.4588060112392194,50.11288802790765
56,4.036748417720798,53.04315996576584
57,4.695063017062402,54.79714587124187
58,5.007673022041535,55.873991055362715
59,5.125476813695886,57.004413619068224
60,4.966989684574566,57.318580172700436
61,4.990706432407237,56.1608900391112
62,4.8586192861511215,54.980721576560576
63,4.595263052731827,54.03729824357723
64,4.518799778665508,55.076359858786944
65,4.697247633889863,58.080602910933216
66,5.196594541767569,57.87896475147399
67,5.392799729435379,56.19869452650791
68,5.379827363614323,53.45859536629435
69,5.366954136932188,51.854220418274366
70,5.609044608358429,51.36816916892272
71,5.583106914865218,48.67704534289267
72,5.4030641409256,45.29375757865397
73,5.397222459454479,43.31702657318667
74,5.456630913522046,42.344228983801
75,5.496605773765863,41.55508441966736
76,4.508493479664294,39.34741510907603
77,3.886388882136049,41.11590864051107
78,3.93106714772129,46.229540515730086
79,3.638287665145243,51.482491054170275
80,4.029191034440141,55.04602673074562
81,4.60194991207525,56.99434552704366
82,4.929583061729088,58.160371107908304
83,5.053854807380181,59.04480474162219
84,4.942243807992411,59.760369624081726
85,4.903394650153695,58.53335100768774
86,4.745800958613779,56.607166258763485
87,4.457205865627197,55.54267078401897
88,4.37345427887757,56.61670151293701
89,4.558702078944528,58.61845169697874
90,5.0862737145574215,58.13546159196231
91,5.2291860049509555,56.46526449453963
92,5.188558590029455,53.36406642079292
93,5.0956129867834825,51.609979056448736
94,5.389240228217517,51.67348329747513
95,5.521199805756556,48.984000455014325
96,5.2804031725049345,45.94445071285483
97,4.999979177131472,43.4352990846173
98,4.804603454087771,41.7403271469731
