time,AT,CH,DE,FR,IT
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.00177565180664845,0.0,0.0,0.0,0.0589735291199013
8,0.0117672012919294,0.0242997414258046,0.0006641624517808,0.0429588502162511,0.12031757906643885
9,0.0411461098326848,0.08695869284032615,0.0084466743908916,0.08620696785056035,0.1912740319096016
10,0.07600374708089246,0.14689796728367865,0.0190967129049555,0.13776450160924064,0.2323729104354648
11,0.1023733871955716,0.18975841226638224,0.0295461353383512,0.16799638213984386,0.2484607364664288
12,0.1043039484300828,0.20334832186791324,0.033062338573337,0.17479992552376455,0.2401729048715491
13,0.08926736811581765,0.17778094232489955,0.02332574102315455,0.1605535165220102,0.20374511782290464
14,0.055768868542745,0.12845965252475536,0.0101732099527111,0.1231438399342063,0.14310781249357046
15,0.0281448149310612,0.0642304861304939,0.00247943645158785,0.0721665454277035,0.0699318487873119
16,0.0,0.0,0.0,0.0342584623311995,0.0035293913743742
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0237166692380144,0.0,0.0,0.0,0.04214062650988985
32,0.0443911362722916,0.01383265214651,0.020262537629477,0.04111232123533445,0.09647605424410245
33,0.097049646495272,0.0604603021077355,0.07098926816287075,0.0921382944655611,0.15143238403382184
34,0.1539455662795257,0.10616535412690235,0.12021943590043785,0.1516493694057134,0.1927432028831429
35,0.1717862590388004,0.1445085691615458,0.14780763226221105,0.19141787789115666,0.2098435502712881
36,0.14373298175601615,0.15015585377886326,0.14297901084738845,0.2046101863443269,0.18997940777000624
