node,year,capex_specific_conversion
AT,2025,490.0
AT,2026,485.1
AT,2027,480.249
CH,2025,490.0
CH,2026,485.1
CH,2027,480.249
DE,2025,490.0
DE,2026,485.1
DE,2027,480.249
FR,2025,490.0
FR,2026,485.1
FR,2027,480.249
IT,2025,490.0
IT,2026,485.1
IT,2027,480.249
