set_technologies,set_capacity_types,set_location,set_time_steps_yearly,unit,value,reduced_cost,rc_capex_equivalent,rc_capex_equivalent_input_units,rc_capex_equivalent_per_kw_eff,rc_reliability
wind_onshore,power,CH,4,gigawatt,0.0,0.0,1.363069638231207,124.38010448859764,355.3717271102826,unknown
wind_onshore,power,CH,5,gigawatt,0.0,0.0,2.8047887527692588,255.93697369019486,731.2484962577071,unknown
wind_onshore,power,DE,0,gigawatt,0.0,0.0,2.2672530775919615,206.8868433302665,591.1052666579103,unknown
wind_onshore,power,DE,1,gigawatt,0.0,0.0,2.804788752769259,255.9369736901949,731.2484962577072,unknown
wind_onshore,power,DE,2,gigawatt,0.0,0.0,2.804788752769259,255.9369736901949,731.2484962577072,unknown
wind_onshore,power,DE,3,gigawatt,0.0,0.0,2.804788752769259,255.9369736901949,731.2484962577072,unknown
wind_onshore,power,DE,4,gigawatt,0.0,0.0,2.804788752769259,255.9369736901949,731.2484962577072,unknown
wind_onshore,power,DE,5,gigawatt,0.0,0.0,2.8047887527692588,255.93697369019486,731.2484962577071,unknown
wind_onshore copy,power,CH,0,gigawatt,0.0,0.0,10.979190253213417,1001.8511106057243,2862.4317445878132,unknown
wind_onshore copy,power,CH,1,gigawatt,0.0,0.0,11.30850461491478,1031.9010461109735,2948.2887031742403,unknown
wind_onshore copy,power,CH,2,gigawatt,0.0,0.0,10.99528898599797,1003.3201199723147,2866.628914206643,unknown
wind_onshore copy,power,CH,3,gigawatt,0.0,0.0,10.472081125687664,955.5774027189993,2730.2211506257404,unknown
wind_onshore copy,power,CH,4,gigawatt,0.0,0.0,10.952110734121618,999.3801044885977,2855.3717271103083,unknown
wind_onshore copy,power,CH,5,gigawatt,0.0,0.0,12.393829848659669,1130.9369736901947,3231.2484962577323,unknown
wind_onshore copy,power,DE,0,gigawatt,0.0,0.0,11.377889336193926,1038.2324019276957,2966.378291222018,unknown
wind_onshore copy,power,DE,1,gigawatt,0.0,0.0,11.801853425050078,1076.9191250358197,3076.911785816659,unknown
wind_onshore copy,power,DE,2,gigawatt,0.0,0.0,11.631014065510794,1061.3300334778598,3032.3715242224876,unknown
wind_onshore copy,power,DE,3,gigawatt,0.0,0.0,12.393829848659669,1130.9369736901947,3231.2484962577323,unknown
wind_onshore copy,power,DE,4,gigawatt,0.0,0.0,12.393829848659669,1130.9369736901947,3231.2484962577323,unknown
wind_onshore copy,power,DE,5,gigawatt,0.0,0.0,12.393829848659669,1130.9369736901947,3231.2484962577323,unknown
natural_gas_pipeline,power,CH-DE,0,gigawatt,151.00362035300256,0.0,-2.220446049250313e-16,-2.0261570199409107e-14,-2.0261570199409107e-14,unknown
natural_gas_pipeline,power,CH-DE,1,gigawatt,0.0,0.18831381393523,0.7046343198858517,64.29788168958396,64.29788168958396,unknown
natural_gas_pipeline,power,CH-DE,2,gigawatt,0.0,0.10082084315648387,0.48612415091955996,44.35882877140985,44.35882877140985,unknown
natural_gas_pipeline,power,CH-DE,3,gigawatt,0.0,0.22063184564668492,1.4617951328028989,133.3888058682645,133.3888058682645,unknown
natural_gas_pipeline,power,CH-DE,4,gigawatt,0.0,0.14276341312733098,1.4617951328028989,133.3888058682645,133.3888058682645,unknown
natural_gas_pipeline,power,CH-DE,5,gigawatt,0.0,0.06930262773171406,1.4617951328028989,133.3888058682645,133.3888058682645,unknown
natural_gas_pipeline,power,DE-CH,0,gigawatt,0.0,0.18258805207829848,0.7644369715049995,69.7548736498312,69.7548736498312,unknown
natural_gas_pipeline,power,DE-CH,1,gigawatt,0.0,0.08863497673703807,0.5943570959636144,54.23508500667982,54.23508500667982,unknown
natural_gas_pipeline,power,DE-CH,2,gigawatt,0.0,0.0,0.3385154902485277,30.88953848517815,30.88953848517815,unknown
natural_gas_pipeline,power,DE-CH,3,gigawatt,0.0,0.0,0.4651574569321064,42.44561794505471,42.44561794505471,unknown
natural_gas_pipeline,power,DE-CH,4,gigawatt,0.0,0.0,0.7188714950917734,65.59702392712433,65.59702392712433,unknown
natural_gas_pipeline,power,DE-CH,5,gigawatt,0.0,0.0,1.4808752798890534,135.12986928987613,135.12986928987613,unknown
natural_gas_storage,energy,CH,0,gigawatt * hour,0.0,0.41018624303028095,0.025821918247730506,2.3562500401054085,2.3562500401054085,unknown
natural_gas_storage,energy,CH,1,gigawatt * hour,0.0,0.2654176594554525,0.023028445640145737,2.1013456646632984,2.1013456646632984,unknown
natural_gas_storage,energy,CH,2,gigawatt * hour,0.0,0.12884352400750124,0.018826381667728875,1.7179073271802598,1.7179073271802598,unknown
natural_gas_storage,energy,CH,3,gigawatt * hour,0.0,0.0,0.011807086661606483,1.0773966578715914,1.0773966578715914,unknown
natural_gas_storage,energy,CH,4,gigawatt * hour,0.0,0.0,0.01824710732810214,1.6650485436893203,1.6650485436893203,unknown
natural_gas_storage,energy,CH,5,gigawatt * hour,0.0,0.0,0.03758904109589041,3.4299999999999997,3.4299999999999997,unknown
natural_gas_storage,energy,DE,0,gigawatt * hour,0.0,0.0,0.0,0.0,0.0,unknown
natural_gas_storage,energy,DE,1,gigawatt * hour,0.0,0.0,0.0,0.0,0.0,unknown
natural_gas_storage,energy,DE,2,gigawatt * hour,0.0,0.16351251848220816,0.012987552576890236,1.185114172641234,1.185114172641234,unknown
natural_gas_storage,energy,DE,3,gigawatt * hour,0.0,0.0,-6.938893903907228e-18,-6.331740687315346e-16,-6.331740687315346e-16,unknown
natural_gas_storage,energy,DE,4,gigawatt * hour,0.0,0.2828138228817656,0.04770343580917914,4.352938517587597,4.352938517587597,unknown
natural_gas_storage,energy,DE,5,gigawatt * hour,0.0,0.0,0.047703435809179136,4.352938517587596,4.352938517587596,unknown
natural_gas_storage,power,CH,0,gigawatt,0.0,1.2235947554000925,1.3502256556425367,123.20809107738147,123.20809107738147,unknown
natural_gas_storage,power,CH,1,gigawatt,0.0,0.5939780366019867,1.0498134306655742,95.79547554823364,95.79547554823364,unknown
natural_gas_storage,power,CH,2,gigawatt,0.0,0.0,0.5979201906811276,54.56021739965289,54.56021739965289,unknown
natural_gas_storage,power,CH,3,gigawatt,0.0,0.0,0.8216080012805351,74.97173011684883,74.97173011684883,unknown
natural_gas_storage,power,CH,4,gigawatt,0.0,0.0,1.2697433169304428,115.86407766990291,115.86407766990291,unknown
natural_gas_storage,power,CH,5,gigawatt,0.0,0.0,2.6156712328767124,238.68,238.68,unknown
natural_gas_storage,power,DE,0,gigawatt,0.0,0.0,0.37853337349822214,34.54117033171277,34.54117033171277,unknown
natural_gas_storage,power,DE,1,gigawatt,0.0,0.548139719168065,1.0089911852086986,92.07044565029375,92.07044565029375,unknown
natural_gas_storage,power,DE,2,gigawatt,0.0,0.0,0.603570886510362,55.075843394070525,55.075843394070525,unknown
natural_gas_storage,power,DE,3,gigawatt,0.0,0.0,1.2920196799811081,117.89679579827612,117.89679579827612,unknown
natural_gas_storage,power,DE,4,gigawatt,0.0,0.0,2.640390857262413,240.93566572519518,240.93566572519518,unknown
natural_gas_storage,power,DE,5,gigawatt,0.0,0.0,2.640390857262413,240.93566572519518,240.93566572519518,unknown
