node,year_construction,capacity_existing
CH,2003,0.5477273903711234
CH,2004,1.0696154996684908
CH,2005,0.15316977641548885
CH,2006,0.15316977641548885
CH,2007,0.15316977641548885
CH,2008,0.15316977641548885
CH,2009,0.15316977641548885
CH,2010,0.33165647850673263
CH,2011,0.15316977641548885
CH,2012,1.1746127289588366
CH,2013,1.035658674248336
CH,2014,0.4386716728374398
CH,2015,0.209492111395873
CH,2016,1.1866225919676265
CH,2018,0.18836949331319708
CH,2019,0.8612688209864822
CH,2020,0.09372294555073245
CH,2021,0.11783727202881283
DE,2003,2.3442384971177677
DE,2004,3.3208754747423668
DE,2005,2.3442384971177677
DE,2006,3.2245717009190398
DE,2007,11.055700381911054
DE,2008,2.3442384971177677
DE,2009,5.952561383468351
DE,2010,2.3442384971177677
DE,2011,2.3442384971177677
DE,2012,11.550952519941223
DE,2013,7.056284455210017
DE,2014,5.438098987860602
DE,2015,9.167165443445294
DE,2016,15.08277934344252
DE,2017,7.9216482221026085
DE,2018,10.297145499942488
DE,2019,2.6455800171350243
DE,2020,6.45896728079407
DE,2021,4.524978858437688
