time,CH,DE,AT
0,5.6573010185717285,47.16995438052497,5.525829418886687
1,5.52137172851146,44.939302546110184,5.243103548981948
2,5.529179129784245,43.50679624574285,5.015558361702509
3,5.298226492815912,42.79061157254179,4.608889049700829
4,4.407507406506893,40.69591523587823,3.9543643863779083
5,4.259105171702255,43.49865978893048,4.552781555081499
6,4.31134801094411,51.43426476846379,5.7608938293891665
7,4.606330474056184,57.369644804046715,6.787816510022244
8,5.258386782685884,59.94531091160231,7.22593011877574
9,5.886695253016063,60.71534840129553,7.361883454325931
10,6.040455838077064,61.510603299790645,7.383552405789963
11,6.152069116057449,61.99940216456888,7.357936846081174
12,6.10574313087389,61.44413256837893,7.164606415780945
13,5.752782110769256,60.69132586337149,7.052293536810492
14,5.7102744518699,59.3347201887715,6.918017775413087
15,5.4093085208950455,58.17745849119244,6.820205812890517
16,5.184762257745472,57.509660098604144,6.881678480701784
17,5.1379860593636,59.9886519331848,7.262762148031706
18,5.393337156947728,61.42093912269074,7.264516540406305
19,5.779172127543042,60.039378273229744,6.771264140219098
20,5.759564640277791,57.0546321837578,6.379134480907549
21,5.6373493922129825,54.82954923674386,5.967547070800725
22,5.788241408614681,53.74144203550242,6.269070564953679
23,5.867282484393245,50.48457171698144,5.918839448078465
24,5.478244451668381,43.54260196194756,5.039438521405552
25,5.50811428531389,42.250181223147464,4.850198947011455
26,5.445135025513924,41.63274536684615,4.578987175846935
27,5.127026854904145,41.3348179546777,4.354359462397261
28,4.684978265039925,42.82841845272729,4.460804098110563
29,4.762379062479612,47.12348408809189,5.099348474083721
30,5.03241440247877,54.019714404865724,6.273132164452415
31,5.4195798705839735,58.328375814968346,6.825883592093962
32,5.846716623143532,60.225559079391914,6.973294584474077
33,6.114639413612819,61.139823778457256,7.0184750591951275
34,6.277218878459234,61.969826357287545,7.046960885003507
35,6.420467355755097,62.0223237224989,6.910959653810638
36,6.273254401194066,61.092080774151455,6.802613638604862
37,6.215503903625795,59.941080756125906,6.6669822069527065
38,6.134904789940758,58.547895024533304,6.545720234458102
39,5.981496856373952,57.2062982702907,6.442833858514538
40,5.791877218456035,56.49744716167332,6.468035636679296
41,5.496391073824854,56.355096675169946,6.5375378326508375
42,5.4028490221845535,56.368494612744655,6.458996905736862
43,5.43197188459521,55.4355272194664,6.317976278164885
44,5.73334302019888,54.36686034564404,6.096192977756436
45,5.794466946000515,51.95368574991967,6.039132973728487
46,5.7624281946133005,48.569606907042406,5.697319412867201
47,5.558616410384143,45.28559982730768,5.319285829433119
48,5.4843431644608405,43.03497071179997,5.066431111851619
49,5.6635657487827915,41.82381016380957,4.944618311051885
50,5.647415544137575,41.715834996956715,4.738123040014225
51,5.522480373641631,41.999723085530384,4.685410623839645
52,5.4296134303855546,44.890485032321436,5.138166566604498
53,5.341800909812353,51.653280340637124,6.061431663710856
54,5.642221958364024,57.136311789925834,6.97618907687562
55,6.193789689945638,60.38763551343231,7.380320320034139
56,6.63769540208509,61.89995782912226,7.543306396810849
57,6.833659624647318,63.607392247416186,7.726255190335499
58,7.0876236144799805,64.92670048399094,7.826185123960004
59,7.324162123659722,64.811694457452,7.629310819063962
60,7.069443802349765,63.68463090281231,7.500823770721709
61,7.181040275874183,62.546609909464024,7.391847949686123
62,7.0653854543928425,61.47964098016764,7.364778347617516
63,6.951761615056251,60.252596244867405,7.278163513722797
64,6.809385308622203,59.68225026181537,7.242493377573604
65,6.456132226427121,59.14701956140499,7.156541699465008
66,6.3413233354605545,57.63821216313499,6.785248051303274
67,6.086738339395369,55.56922922327214,6.580324591351915
68,5.968491891389018,53.97774547237596,6.358162893681153
69,6.004269695144487,50.96869031062603,6.18112079963756
70,5.956751887112748,47.449193186253005,5.686276224193897
71,5.58876858544713,44.810628477744366,5.415886489878909
72,5.832786775761626,43.90757935181546,5.064707394429445
73,5.883970799907471,42.541384076886594,4.896228750181981
74,5.81580627246868,42.25103155922124,4.685142029952211
75,5.54541301160819,42.1944899242565,4.468456387088819
76,5.182922407419832,42.84157940852667,4.456169725427216
77,5.201161287740426,46.102185481012576,5.0359514386285404
78,5.481764102192976,54.55990715394734,6.190560687265109
79,5.593266813565725,59.807625353290256,7.139883103145246
80,6.183441810955745,61.40030721366696,7.413316313373853
81,6.568191138011338,62.26118738021071,7.468557783985366
82,6.681255853494832,63.5385146740517,7.527486639650097
83,6.824642537620122,63.74197816004264,7.410341129014511
84,6.712923040144295,63.30507355471981,7.270769511124766
85,6.610390807646452,62.58159108298413,7.126503462911137
86,6.521734153486241,61.16576544616588,7.0704815058498
87,6.3651498465222565,59.90220150093323,7.075213682558202
88,6.189862231309042,59.875141232998175,7.190805654886385
89,6.1185186961331866,60.54122936449041,7.29410666556265
90,6.134428419094641,60.75605098156651,7.149382941846708
91,6.139852783828108,59.02351959645205,6.775853914270973
92,6.099656873001999,55.785301063191454,6.258347647069547
93,5.921152283028196,52.3854561885412,6.045008537763859
94,5.89875593210367,48.386087414881466,5.694193413908172
95,5.846774109716321,45.72217984895065,5.333956298899615
